#                 A/D
# RV      Yaw=0      Yaw=45
# ==========================================
  2       2.61E-02   2.07E-02
  3	      9.96E-02   9.88E-02
  4	      4.44E-01   7.89E-01
  5	      9.50E-01   9.26E-01
  5.9	    9.00E-01	  7.23E-01
  7	      5.45E-01   5.79E-01
  8	      5.61E-01   6.02E-01
  10   		5.18E-01   5.54E-01
  13 		  2.85E-02   6.00E-02
  15 		  1.86E-02   4.03E-02
# ==========================================



#             f/f_N
# RV    Yaw=0     Yaw=45
# ==========================================
  2	    3.97E-01	3.97E-01
  3	    5.49E-01	5.49E-01
  4	    7.32E-01	7.93E-01
  5	    9.16E-01	9.16E-01
  5.9	  9.90E-01	1.08E+00
  7	    1.17E+00	1.17E+00
  8	    1.10E+00	1.10E+00
  10	  1.07E+00	1.07E+00
  13	  2.78E+00	2.78E+00
  15	  3.20E+00	3.20E+00
# ==========================================
#











